1,1,4,2036073712
1,2,4,-971615464
1,3,4,-2009822466
1,4,4,1330889137
1,5,5,-935522768
1,6,5,-1477380540
1,7,4,-1117864416
1,8,4,-1760766959
1,9,3,-1702222754
1,13,5,1249662674
1,14,5,-1827624270
1,17,5,1867815152
1,18,5,1861712576
1,19,4,1626462899
1,20,2,1785560359
1,21,5,-852698808
1,22,5,-901493105
1,23,4,-728879090
1,26,5,-677696701
1,27,5,167377814
2,1,5,-1928747450
2,2,5,1478481199
2,3,5,1887932165
2,4,5,-2050470155
2,5,5,-618708709
2,6,5,-488526913
2,7,5,1210698688
2,8,5,1479701351
2,9,5,1960934093
2,14,5,1854868277
2,15,5,-2137890422
2,17,5,-1965722762
2,18,1,-703912032
2,19,1,562169484
2,20,1,-966880550
2,21,1,1106535163
2,22,5,-947737435
2,23,5,-41690826
2,24,5,172621932
2,25,5,-4810947
2,26,5,-240527297
2,27,1,-100487345
3,1,5,-1545363608
3,2,3,562613309
3,3,5,-944488735
3,4,5,1272921366
3,5,5,-786862654
3,6,5,-1227175089
3,7,5,1115693084
3,8,5,1765267864
3,9,5,-2086631197
3,10,5,-1845991700
3,11,3,-22407208
3,12,5,-339865427
3,13,3,-982152567
3,14,4,-1068113978
3,15,4,-1638653983
3,16,2,-612442072
3,17,5,-83144725
3,18,3,-1936390371
3,19,2,-1080253019
3,20,1,-1512762295
3,21,1,-1703112928
3,22,5,2064233041
3,23,5,1699395643
3,24,5,1136686966
3,25,3,-445194560
3,26,5,-556182601
3,27,2,-1811901785
4,1,4,-11286230
4,2,4,98309067
4,3,4,1262144687
4,4,3,-476707236
4,5,4,1016508461
4,6,3,-176088631
4,7,3,790154485
4,8,4,1582336513
4,9,4,1985485829
4,10,3,-1774212813
4,11,4,-626371784
4,12,4,-960040840
4,13,3,-968832596
4,14,2,-1291681775
4,15,4,1538925288
4,16,3,228264987
4,17,4,1211948930
4,20,4,-1832255261
4,22,5,1871659860
4,23,5,-1307327928
4,24,4,525259909
4,25,5,-1105110075
4,26,5,-34219021
4,27,5,273044255
5,1,5,-196274498
5,3,5,1683662285
5,4,5,2030633473
5,5,5,1428543882
5,6,5,1227826430
5,8,5,-496336201
5,12,4,1045646157
5,13,5,1354516349
5,14,5,-1264185398
5,19,5,-1616755516
5,20,1,-387630511
5,22,5,-1992269186
5,23,5,84383123
5,26,5,1058121438
6,1,4,-161622142
6,6,5,1794147431
6,8,5,-699249110
6,12,5,-448297728
6,17,4,1406340073
6,18,4,-523099030
6,20,4,2021955954
6,23,5,-1950665004
7,1,4,1347195123
7,3,5,-168661930
7,4,3,820462934
7,5,5,1939763357
7,6,5,442337668
7,8,4,-976986600
7,9,4,898113277
7,13,5,1265749590
7,14,3,-1298786223
7,15,4,821906819
7,16,4,-47193284
7,17,4,1941204251
7,20,3,239568750
7,21,5,-1156009389
7,22,4,316817996
7,23,5,-1851181368
7,24,5,-894773978
7,25,5,532190831
7,26,5,-240260420
9,1,4,-1045249057
9,3,4,555923978
9,4,5,-1767365523
9,5,4,528338856
9,6,4,-680462417
9,12,3,-145785780
9,14,4,630856283
9,22,4,-621011413
9,23,4,786021041
9,25,4,-1438899123
9,26,4,-1877662532
10,3,3,-55929327
10,4,4,1094219572
10,6,3,676456051
10,7,3,2090624465
10,12,4,-581223983
10,14,4,26623037
10,17,3,-1153968576
10,18,3,-767382247
10,23,5,393185721
10,24,4,-1614370136
10,25,3,-2037238112
10,26,4,2008752921
11,1,5,737394283
11,2,4,-965472110
11,3,4,-873071743
11,4,5,-723358369
11,5,3,-1945192825
11,6,5,1766283002
11,7,4,-593866584
11,8,2,1575456452
11,9,3,1234602921
11,10,5,1525589413
11,11,3,-1080346174
11,12,3,602671090
11,13,5,-98237803
11,14,5,-510664381
11,15,5,-985817159
11,16,4,-832111578
11,17,4,-704230735
11,18,3,2036492239
11,19,3,-438935735
11,20,1,1661951541
11,21,3,856670387
11,22,4,-1426215109
11,23,5,452668626
11,24,1,198011347
11,25,1,-2112640870
11,26,5,-207574453
11,27,5,616391023
12,1,5,1265888531
12,2,4,2005013217
12,3,4,59774912
12,4,3,1836358
12,5,5,1057367593
12,6,5,68575474
12,7,5,937959353
12,8,4,-388256991
12,9,3,441923959
12,10,2,-327934759
